dataset,dataset_label,pages,rows,row_metric,col_metric,pearson_r
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,pll_score,1.0
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,wer,0.9094292077004185
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,cer,0.735766774224775
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,pll_score,levenshtein,0.7340880218716392
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,pll_score,0.9094292077004185
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,wer,1.0
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,cer,0.9027970615010067
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,wer,levenshtein,0.8986238734789721
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,pll_score,0.735766774224775
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,wer,0.9027970615010067
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,cer,1.0
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,cer,levenshtein,0.9979019861572047
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,levenshtein,pll_score,0.7340880218716392
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,levenshtein,wer,0.8986238734789721
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,levenshtein,cer,0.9979019861572047
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,3,21,levenshtein,levenshtein,1.0
bnf150test2,BNF 150 test 2,2,14,pll_score,pll_score,1.0
bnf150test2,BNF 150 test 2,2,14,pll_score,wer,0.9211282834658691
bnf150test2,BNF 150 test 2,2,14,pll_score,cer,0.7672774139136926
bnf150test2,BNF 150 test 2,2,14,pll_score,levenshtein,0.7618973786313461
bnf150test2,BNF 150 test 2,2,14,wer,pll_score,0.9211282834658691
bnf150test2,BNF 150 test 2,2,14,wer,wer,1.0
bnf150test2,BNF 150 test 2,2,14,wer,cer,0.918735705958603
