model,line_number,gt_text,ocr_text,wer,cer,levenshtein_distance,pll_score
italian_7,1,לו' הב'ה' אל תשלח ידך אל הנער כבר היה שחוט כיון שבא אצל,ו הכה' אל תשלח ירך אל הנער כבר היה שחוט כיון שבא איצל,0.3076923076923077,0.07692307692307693,5.0,131.33995628356934
italian_7,2,אמו אמרה לו מה עשה לך אביך אמ' לה נטלני אבא והעלני הרים,אמו אמרה לו מה עשה לך אביך אמ' לה נטלני אבא והעלני הרים,0.0,0.0,0.0,54.5561462379992
italian_7,3,והורידני גבעות והעלני לראש ההר ובנה מזבח וסדר את המערכה,והורירני גבעות והעלטי לראש ההר ובנה מזבח וסרר את המערכה,0.3,0.05454545454545454,3.0,100.58846890926361
italian_7,4,והעריך את העצים ועקדני על גבי המזבח ונטל הסכין לשחטני,והעריך את העיצים ועקרני על גכי הוזכח ונטל הסכין לשחטני,0.4,0.09433962264150944,5.0,101.62092071771622
italian_7,5,אילולי שאמ' לו ה'ב'ה' אל תשלח ידך אל הנער הייתי שחוט אמרה,אי לולי שאמ' לו הב'ה אל תשלח ירך אל הנד הייתי שחינו אמרה,0.4166666666666667,0.1320754716981132,8.0,126.45497393608093
italian_7,6,לו ווי לך בריה דעלובתא דאילולי שאמ' לו ה'ב'ה' אל תשלח ידך,לו ויי לך בריה דעלו בתא ראילו לי שאמ' לו הבה' אל תשלח ידך,0.4166666666666667,0.07547169811320754,6.0,152.76482152938843
italian_7,7,כבר היית שחוט לא הספיקה לגמור את הדבר עד שיצתה,כבר היית שחוט לא הספיקה לגטור את הרבר עד שיצתהה,0.3,0.06521739130434782,3.0,102.72370713949203
italian_7,8,נשמתה ה'ה'ד' ויבא אברהם לספור לשרה ולבכותה ˙ מהיכן בא [/],נשאתה ה'ה'ד' ויבא אברהם למפור לשרה ולבכותה ˙ מה יכן בא/],0.4,0.06,3.0,161.64577530836686
italian_7,9,מהר המוריה כביכול ה'ב'ה' לא שמח בעולמו ובני אדם מבקשין [//],אהר המוריה כביכול הב'ה' לא שמרו כעולמו וכני ארס מבקשין [/],0.5,0.13725490196078433,8.0,168.61752557754517
italian_7,10,לשמוח שמח י'י במעשיו אין כתי' אלא ישמח י'י במעשיו ˙ אימתי,לשמוח שמח ייי כמעשיו אין כתי' אלא ישמח ייי במעשיו ˙ אימתי,0.25,0.05555555555555555,3.0,80.71645982563496
